emisora,fecha,hora,descripcion,titulos,precio,tasa,plazo,intereses,impuestos,comision,importe,saldo
FMTY 14,30/12/20,11:45:21,Venta de Acciones.,15.00,11.50,0.00,0.00,0.00,0.06,0.35,172.10,-407303.09
FMTY 14,30/12/20,11:45:21,Venta de Acciones.,58.00,11.50,0.00,0.00,0.00,0.21,1.33,665.45,-406637.64
FMTY 14,30/12/20,11:46:11,Venta de Acciones.,3.00,11.50,0.00,0.00,0.00,0.01,0.07,34.42,-406603.22
FMTY 14,30/12/20,11:46:12,Venta de Acciones.,3.00,11.50,0.00,0.00,0.00,0.01,0.07,34.42,-406568.80
FMTY 14,30/12/20,11:47:04,Venta de Acciones.,30.00,11.50,0.00,0.00,0.00,0.11,0.69,344.20,-406224.60
FMTY 14,30/12/20,11:47:05,Venta de Acciones.,30.00,11.50,0.00,0.00,0.00,0.11,0.69,344.20,-405880.40
FMTY 14,30/12/20,11:47:10,Venta de Acciones.,5.00,11.50,0.00,0.00,0.00,0.02,0.12,57.37,-405823.03
FMTY 14,30/12/20,11:47:11,Venta de Acciones.,5.00,11.50,0.00,0.00,0.00,0.02,0.12,57.37,-405765.67
FMTY 14,30/12/20,11:47:18,Venta de Acciones.,20.00,11.50,0.00,0.00,0.00,0.07,0.46,229.47,-405536.20
FMTY 14,30/12/20,11:47:19,Venta de Acciones.,20.00,11.50,0.00,0.00,0.00,0.07,0.46,229.47,-405306.73
FMTY 14,30/12/20,11:48:55,Venta de Acciones.,5.00,11.50,0.00,0.00,0.00,0.02,0.12,57.37,-405249.37
FMTY 14,30/12/20,11:48:56,Venta de Acciones.,5.00,11.50,0.00,0.00,0.00,0.02,0.12,57.37,-405192.00
FMTY 14,30/12/20,12:35:21,Venta de Acciones.,100.00,11.48,0.00,0.00,0.00,0.37,2.30,1145.34,-404046.66
FMTY 14,30/12/20,12:35:29,Venta de Acciones.,79.00,11.48,0.00,0.00,0.00,0.29,1.81,904.82,-403141.85
FMTY 14,30/12/20,12:35:41,Venta de Acciones.,6.00,11.48,0.00,0.00,0.00,0.02,0.14,68.72,-403073.13
FMTY 14,30/12/20,12:35:41,Venta de Acciones.,15.00,11.48,0.00,0.00,0.00,0.06,0.34,171.80,-402901.33
FMTY 14,30/12/20,12:35:42,Venta de Acciones.,1.00,11.48,0.00,0.00,0.00,0.00,0.02,11.45,-402889.87
FMTY 14,30/12/20,12:36:13,Venta de Acciones.,1.00,11.48,0.00,0.00,0.00,0.00,0.02,11.45,-402878.42
FMTY 14,30/12/20,12:36:14,Venta de Acciones.,1.00,11.48,0.00,0.00,0.00,0.00,0.02,11.45,-402866.97
FMTY 14,30/12/20,12:39:29,Venta de Acciones.,2.00,11.48,0.00,0.00,0.00,0.01,0.05,22.91,-402844.06
FMTY 14,30/12/20,12:39:30,Venta de Acciones.,2.00,11.48,0.00,0.00,0.00,0.01,0.05,22.91,-402821.15
FMTY 14,30/12/20,12:39:46,Venta de Acciones.,10.00,11.48,0.00,0.00,0.00,0.04,0.23,114.53,-402706.62
FMTY 14,30/12/20,12:39:47,Venta de Acciones.,10.00,11.48,0.00,0.00,0.00,0.04,0.23,114.53,-402592.09
FMTY 14,30/12/20,12:40:00,Venta de Acciones.,1752.00,11.48,0.00,0.00,0.00,6.44,40.23,20066.30,-382525.79
FMTY 14,30/12/20,12:41:17,Venta de Acciones.,370.00,11.48,0.00,0.00,0.00,1.36,8.50,4237.75,-378288.04
FMTY 14,30/12/20,12:41:17,Venta de Acciones.,248.00,11.48,0.00,0.00,0.00,0.91,5.69,2840.43,-375447.61
FMTY 14,30/12/20,12:41:17,Venta de Acciones.,1382.00,11.48,0.00,0.00,0.00,5.08,31.73,15828.55,-359619.06
FMTY 14,30/12/20,12:41:17,Venta de Acciones.,11.00,11.48,0.00,0.00,0.00,0.04,0.25,125.99,-359493.07
FMTY 14,30/12/20,12:41:17,Venta de Acciones.,1.00,11.48,0.00,0.00,0.00,0.00,0.02,11.45,-359481.62
FMTY 14,30/12/20,12:41:18,Venta de Acciones.,1000.00,11.48,0.00,0.00,0.00,3.67,22.96,11453.37,-348028.25
FMTY 14,30/12/20,12:41:18,Venta de Acciones.,810.00,11.48,0.00,0.00,0.00,2.98,18.60,9277.23,-338751.02
GBMF2 BF,31/12/20,8:01:35,Venta Soc.de Inv.- Cliente              ,2938.00,36.99,0.00,0.00,0.00,0.00,0.00,108678.61,-230072.41
FPLUS 16,31/12/20,8:50:19,Venta de Acciones.,98.00,10.32,0.00,0.00,0.00,0.32,2.02,1009.01,-194033.22
FPLUS 16,31/12/20,10:14:33,Venta de Acciones.,1.00,10.45,0.00,0.00,0.00,0.00,0.02,10.43,-194022.80
GBMF2 BF,31/12/20,11:29:46,Venta Soc.de Inv.- Cliente              ,947.00,36.99,0.00,0.00,0.00,0.00,0.00,35030.17,-195042.24
FPLUS 16,31/12/20,12:43:10,Venta de Acciones.,1774.00,10.45,0.00,0.00,0.00,5.93,37.08,18495.29,-175527.51
KIMBER A,31/12/20,2:52:26,Compra de Acciones.,3000.00,33.96,0.00,0.00,0.00,32.60,203.76,102116.36,-277643.87
NFLX *,31/12/20,2:53:14,Venta de Acciones.,3.00,10730.00,0.00,0.00,0.00,10.30,64.38,32115.32,-245528.55
GBMF2 BF,04/01/21,8:00:45,Compra Soc.de Inv.- Cliente             ,6703.00,37.00,0.00,0.00,0.00,0.00,0.00,247997.58,-50476.49
FIHO 12,04/01/21,8:51:33,Venta de Acciones.,4.00,4.33,0.00,0.00,0.00,0.01,0.03,17.28,-50459.21
FIHO 12,04/01/21,8:51:34,Venta de Acciones.,5.00,4.33,0.00,0.00,0.00,0.01,0.04,21.60,-50437.61
FIHO 12,04/01/21,8:51:35,Venta de Acciones.,3.00,4.33,0.00,0.00,0.00,0.00,0.03,12.96,-50424.65
FIHO 12,04/01/21,8:51:36,Venta de Acciones.,2.00,4.33,0.00,0.00,0.00,0.00,0.02,8.64,-50416.01
FIHO 12,04/01/21,8:51:36,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-50411.69
FIHO 12,04/01/21,8:51:36,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-50407.37
FIHO 12,04/01/21,8:51:37,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-50403.05
FIHO 12,04/01/21,8:51:37,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-50398.73
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,3.00,4.33,0.00,0.00,0.00,0.00,0.03,12.96,-50385.77
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,3.00,4.33,0.00,0.00,0.00,0.00,0.03,12.96,-50372.81
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,10.00,4.33,0.00,0.00,0.00,0.01,0.09,43.20,-50329.61
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,20.00,4.33,0.00,0.00,0.00,0.03,0.17,86.40,-50243.21
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,6.00,4.33,0.00,0.00,0.00,0.01,0.05,25.92,-50217.29
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-50212.97
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-50208.65
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,110.00,4.33,0.00,0.00,0.00,0.15,0.95,475.20,-49733.46
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,8.00,4.33,0.00,0.00,0.00,0.01,0.07,34.56,-49698.90
FIHO 12,04/01/21,8:51:38,Venta de Acciones.,1000.00,4.33,0.00,0.00,0.00,1.39,8.66,4319.95,-45378.94
FIHO 12,04/01/21,8:51:39,Venta de Acciones.,14.00,4.33,0.00,0.00,0.00,0.02,0.12,60.48,-45318.46
FIHO 12,04/01/21,8:51:39,Venta de Acciones.,13.00,4.33,0.00,0.00,0.00,0.02,0.11,56.16,-45262.30
FIHO 12,04/01/21,8:51:39,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-45257.99
FIHO 12,04/01/21,8:51:39,Venta de Acciones.,20.00,4.33,0.00,0.00,0.00,0.03,0.17,86.40,-45171.59
FIHO 12,04/01/21,8:51:39,Venta de Acciones.,1.00,4.33,0.00,0.00,0.00,0.00,0.01,4.32,-45167.27
FIHO 12,04/01/21,8:51:39,Venta de Acciones.,5.00,4.33,0.00,0.00,0.00,0.01,0.04,21.60,-45145.67
FIHO 12,04/01/21,8:51:40,Venta de Acciones.,1496.00,4.33,0.00,0.00,0.00,2.07,12.96,6462.65,-38683.01
KIMBER A,04/01/21,8:57:06,Venta de Acciones.,1048.00,34.44,0.00,0.00,0.00,11.55,72.19,36009.38,-2673.63
KIMBER A,04/01/21,8:57:06,Venta de Acciones.,1952.00,34.44,0.00,0.00,0.00,21.51,134.45,67070.91,64397.28
NVDA *,04/01/21,9:55:02,Venta de Acciones.,14.00,10715.03,0.00,0.00,0.00,48.00,300.02,149662.40,214059.68
KIMBER A,04/01/21,10:47:08,Compra de Acciones.,1974.00,33.98,0.00,0.00,0.00,21.46,134.15,67232.14,146827.54
KIMBER A,04/01/21,10:47:08,Compra de Acciones.,400.00,33.98,0.00,0.00,0.00,4.35,27.18,13623.53,133204.01
KIMBER A,04/01/21,10:54:34,Compra de Acciones.,1126.00,33.98,0.00,0.00,0.00,12.24,76.52,38350.25,94853.76
GBMF2 BF,05/01/21,8:01:25,Venta Soc.de Inv.- Cliente              ,1365.00,37.00,0.00,0.00,0.00,0.00,0.00,50504.65,145358.41
FIHO 12,05/01/21,12:32:13,Venta de Acciones.,64.00,4.39,0.00,0.00,0.00,0.09,0.56,280.31,145638.71
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,2.00,4.39,0.00,0.00,0.00,0.00,0.02,8.76,145647.47
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,8.00,4.39,0.00,0.00,0.00,0.01,0.07,35.04,145682.51
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,1.00,4.39,0.00,0.00,0.00,0.00,0.01,4.38,145686.89
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,1.00,4.39,0.00,0.00,0.00,0.00,0.01,4.38,145691.27
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,10.00,4.39,0.00,0.00,0.00,0.01,0.09,43.80,145735.07
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,85.00,4.39,0.00,0.00,0.00,0.12,0.75,372.28,146107.36
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,20.00,4.39,0.00,0.00,0.00,0.03,0.18,87.60,146194.95
FIHO 12,05/01/21,12:32:14,Venta de Acciones.,11.00,4.39,0.00,0.00,0.00,0.02,0.10,48.18,146243.13
FIHO 12,05/01/21,12:33:36,Venta de Acciones.,32.00,4.39,0.00,0.00,0.00,0.05,0.28,140.15,146383.28
FIHO 12,05/01/21,12:34:40,Venta de Acciones.,20.00,4.39,0.00,0.00,0.00,0.03,0.18,87.60,146470.88
FIHO 12,05/01/21,12:34:49,Venta de Acciones.,1.00,4.39,0.00,0.00,0.00,0.00,0.01,4.38,146475.26
FIHO 12,05/01/21,12:35:35,Venta de Acciones.,6.00,4.39,0.00,0.00,0.00,0.01,0.05,26.28,146501.54
FIHO 12,05/01/21,12:35:49,Venta de Acciones.,9.00,4.39,0.00,0.00,0.00,0.01,0.08,39.42,146540.96
FIBRAPL 14,05/01/21,12:39:04,Compra de Acciones.,113.00,44.37,0.00,0.00,0.00,1.60,10.03,5025.44,141515.51
FIBRAPL 14,05/01/21,12:40:12,Compra de Acciones.,1287.00,44.37,0.00,0.00,0.00,18.27,114.21,57236.67,84278.84
KIMBER A,05/01/21,2:44:53,Venta de Acciones.,2407.00,34.32,0.00,0.00,0.00,26.43,165.22,82416.59,166695.43
KIMBER A,05/01/21,2:44:53,Venta de Acciones.,1093.00,34.32,0.00,0.00,0.00,12.00,75.02,37424.73,204120.16
FIBRAPL 14,05/01/21,2:57:50,Compra de Acciones.,1133.00,44.28,0.00,0.00,0.00,16.05,100.34,50285.63,153834.53
FIBRAPL 14,05/01/21,2:57:50,Compra de Acciones.,200.00,44.28,0.00,0.00,0.00,2.83,17.71,8876.55,144957.99
FIBRAPL 14,05/01/21,2:57:50,Compra de Acciones.,67.00,44.28,0.00,0.00,0.00,0.95,5.93,2973.64,141984.34
GBMF2 BF,06/01/21,8:04:21,Compra Soc.de Inv.- Cliente             ,3928.00,37.00,0.00,0.00,0.00,0.00,0.00,145342.15,-3357.81
FIBRAPL 14,06/01/21,8:53:09,Venta de Acciones.,554.00,44.76,0.00,0.00,0.00,7.94,49.59,24739.51,21381.70
FIBRAPL 14,06/01/21,8:53:09,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,25847.32
FIBRAPL 14,06/01/21,8:53:11,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,30312.93
FIBRAPL 14,06/01/21,8:53:12,Venta de Acciones.,71.00,44.76,0.00,0.00,0.00,1.02,6.36,3170.59,33483.52
FIBRAPL 14,06/01/21,8:53:14,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,37949.14
FIBRAPL 14,06/01/21,8:53:17,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,42414.75
FIBRAPL 14,06/01/21,8:53:23,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,46880.37
FIBRAPL 14,06/01/21,8:54:08,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,51345.98
FIBRAPL 14,06/01/21,8:54:28,Venta de Acciones.,5.00,44.76,0.00,0.00,0.00,0.07,0.45,223.28,51569.26
FIBRAPL 14,06/01/21,8:54:45,Venta de Acciones.,100.00,44.76,0.00,0.00,0.00,1.43,8.95,4465.62,56034.88
FIBRAPL 14,06/01/21,8:54:53,Venta de Acciones.,70.00,44.76,0.00,0.00,0.00,1.00,6.27,3125.93,59160.81
FIBRAPL 14,06/01/21,9:11:48,Venta de Acciones.,69.00,44.91,0.00,0.00,0.00,0.99,6.20,3091.60,62252.41
FIBRAPL 14,06/01/21,9:40:04,Venta de Acciones.,100.00,44.91,0.00,0.00,0.00,1.44,8.98,4480.58,66732.99
FIBRAPL 14,06/01/21,9:42:03,Venta de Acciones.,370.00,44.91,0.00,0.00,0.00,5.32,33.23,16578.15,83311.14
FIBRAPL 14,06/01/21,9:43:45,Venta de Acciones.,170.00,44.91,0.00,0.00,0.00,2.44,15.27,7616.99,90928.13
FIBRAPL 14,06/01/21,9:43:56,Venta de Acciones.,300.00,44.91,0.00,0.00,0.00,4.31,26.95,13441.74,104369.87
FIBRAPL 14,06/01/21,9:43:57,Venta de Acciones.,100.00,44.91,0.00,0.00,0.00,1.44,8.98,4480.58,108850.45
FIBRAPL 14,06/01/21,9:43:57,Venta de Acciones.,100.00,44.91,0.00,0.00,0.00,1.44,8.98,4480.58,113331.03
FIBRAPL 14,06/01/21,9:44:37,Venta de Acciones.,191.00,44.91,0.00,0.00,0.00,2.74,17.16,8557.91,121888.94
FIBRAPL 14,06/01/21,2:59:00,Compra de Acciones.,614.00,44.32,0.00,0.00,0.00,8.71,54.43,27275.61,94613.33
FIBRAPL 14,06/01/21,2:59:50,Compra de Acciones.,92.00,44.32,0.00,0.00,0.00,1.30,8.15,4086.90,90526.43
FIBRAPL 14,06/01/21,2:59:50,Compra de Acciones.,305.00,44.32,0.00,0.00,0.00,4.33,27.04,13548.96,76977.47
FIBRAPL 14,06/01/21,2:59:55,Compra de Acciones.,76.00,44.32,0.00,0.00,0.00,1.08,6.74,3376.13,73601.34
FIBRAPL 14,06/01/21,2:59:56,Compra de Acciones.,3.00,44.32,0.00,0.00,0.00,0.04,0.27,133.27,73468.07
GBMF2 BF,07/01/21,8:03:34,Venta Soc.de Inv.- Cliente              ,91.00,37.00,0.00,0.00,0.00,0.00,0.00,3367.28,76835.35
FIBRAPL 14,07/01/21,10:36:00,Compra de Acciones.,4.00,44.35,0.00,0.00,0.00,0.04,0.27,177.71,76657.64
FIBRAPL 14,07/01/21,10:51:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,75324.82
FIBRAPL 14,07/01/21,10:51:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,74347.42
FIBRAPL 14,07/01/21,10:51:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,73858.73
FIBRAPL 14,07/01/21,10:52:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,72525.91
FIBRAPL 14,07/01/21,10:52:01,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,71548.51
FIBRAPL 14,07/01/21,10:52:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,71059.81
FIBRAPL 14,07/01/21,10:52:14,Compra de Acciones.,5.00,44.35,0.00,0.00,0.00,0.05,0.33,222.14,70837.68
FIBRAPL 14,07/01/21,10:53:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,69504.86
FIBRAPL 14,07/01/21,10:53:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,68527.46
FIBRAPL 14,07/01/21,10:53:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,68038.77
FIBRAPL 14,07/01/21,10:54:00,Compra de Acciones.,29.00,44.35,0.00,0.00,0.00,0.31,1.93,1288.39,66750.38
FIBRAPL 14,07/01/21,10:54:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,65772.98
FIBRAPL 14,07/01/21,10:54:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,65284.28
FIBRAPL 14,07/01/21,10:54:46,Compra de Acciones.,1000.00,44.35,0.00,0.00,0.00,10.64,66.53,44427.17,20857.11
FIBRAPL 14,07/01/21,10:55:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,19524.30
FIBRAPL 14,07/01/21,10:55:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,18546.90
FIBRAPL 14,07/01/21,10:55:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,18058.20
FIBRAPL 14,07/01/21,10:56:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,16725.39
FIBRAPL 14,07/01/21,10:56:01,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,15747.99
FIBRAPL 14,07/01/21,10:56:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,15259.29
FIBRAPL 14,07/01/21,11:01:00,Compra de Acciones.,29.00,44.35,0.00,0.00,0.00,0.31,1.93,1288.39,13970.90
FIBRAPL 14,07/01/21,11:01:01,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,12993.50
FIBRAPL 14,07/01/21,11:01:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,12504.80
FIBRAPL 14,07/01/21,11:02:00,Compra de Acciones.,29.00,44.35,0.00,0.00,0.00,0.31,1.93,1288.39,11216.42
FIBRAPL 14,07/01/21,11:02:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,10239.02
FIBRAPL 14,07/01/21,11:02:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,9750.32
FIBRAPL 14,07/01/21,11:03:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,8417.51
FIBRAPL 14,07/01/21,11:03:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,7440.11
FIBRAPL 14,07/01/21,11:03:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,6951.41
FIBRAPL 14,07/01/21,11:04:00,Compra de Acciones.,30.00,44.35,0.00,0.00,0.00,0.32,2.00,1332.82,5618.59
FIBRAPL 14,07/01/21,11:04:00,Compra de Acciones.,22.00,44.35,0.00,0.00,0.00,0.23,1.46,977.40,4641.20
FIBRAPL 14,07/01/21,11:04:01,Compra de Acciones.,11.00,44.35,0.00,0.00,0.00,0.12,0.73,488.70,4152.50
FIBRAPL 14,07/01/21,11:04:29,Compra de Acciones.,1364.00,44.35,0.00,0.00,0.00,14.52,90.74,60598.66,-56446.16
AC *,07/01/21,1:45:57,Venta de Acciones.,41.00,99.33,0.00,0.00,0.00,0.98,6.11,4065.44,-52380.72
AC *,07/01/21,1:45:57,Venta de Acciones.,16.00,99.33,0.00,0.00,0.00,0.38,2.38,1586.51,-50794.20
AC *,07/01/21,1:45:57,Venta de Acciones.,16.00,99.33,0.00,0.00,0.00,0.38,2.38,1586.51,-49207.69
AC *,07/01/21,1:45:57,Venta de Acciones.,100.00,99.33,0.00,0.00,0.00,2.38,14.90,9915.72,-39291.97
AC *,07/01/21,1:45:57,Venta de Acciones.,100.00,99.33,0.00,0.00,0.00,2.38,14.90,9915.72,-29376.26
AC *,07/01/21,1:46:03,Venta de Acciones.,204.00,99.33,0.00,0.00,0.00,4.86,30.40,20228.06,-9148.19
FIBRAPL 14,07/01/21,2:43:26,Venta de Acciones.,100.00,44.68,0.00,0.00,0.00,1.07,6.70,4460.23,-4687.97
FIBRAPL 14,07/01/21,2:43:32,Venta de Acciones.,566.00,44.68,0.00,0.00,0.00,6.07,37.93,25244.88,20556.91
FIBRAPL 14,07/01/21,2:43:33,Venta de Acciones.,100.00,44.68,0.00,0.00,0.00,1.07,6.70,4460.23,25017.14
FIBRAPL 14,07/01/21,2:43:41,Venta de Acciones.,200.00,44.68,0.00,0.00,0.00,2.14,13.40,8920.45,33937.59
FIBRAPL 14,07/01/21,2:43:52,Venta de Acciones.,100.00,44.68,0.00,0.00,0.00,1.07,6.70,4460.23,38397.81
FIBRAPL 14,07/01/21,2:44:11,Venta de Acciones.,300.00,44.68,0.00,0.00,0.00,3.22,20.11,13380.68,51778.49
FIBRAPL 14,07/01/21,2:44:14,Venta de Acciones.,100.00,44.68,0.00,0.00,0.00,1.07,6.70,4460.23,56238.72
FIBRAPL 14,07/01/21,2:44:25,Venta de Acciones.,100.00,44.68,0.00,0.00,0.00,1.07,6.70,4460.23,60698.94
FIBRAPL 14,07/01/21,2:44:41,Venta de Acciones.,100.00,44.68,0.00,0.00,0.00,1.07,6.70,4460.23,65159.17
FIBRAPL 14,07/01/21,2:44:56,Venta de Acciones.,200.00,44.68,0.00,0.00,0.00,2.14,13.40,8920.45,74079.62
FIBRAPL 14,07/01/21,2:44:56,Venta de Acciones.,134.00,44.68,0.00,0.00,0.00,1.44,8.98,5976.70,80056.32
FIBRAPL 14,07/01/21,2:59:44,Venta de Acciones.,1433.00,44.88,0.00,0.00,0.00,15.44,96.47,64201.14,144257.46
FIBRAPL 14,07/01/21,2:59:44,Venta de Acciones.,657.00,44.88,0.00,0.00,0.00,7.08,44.23,29434.85,173692.31
GBMF2 BF,08/01/21,8:04:40,Compra Soc.de Inv.- Cliente             ,2076.00,37.00,0.00,0.00,0.00,0.00,0.00,76821.99,96870.32
FIBRAPL 14,08/01/21,12:05:34,Compra de Acciones.,13.00,44.44,0.00,0.00,0.00,0.14,0.87,578.73,96291.60
FIBRAPL 14,08/01/21,12:05:38,Compra de Acciones.,66.00,44.44,0.00,0.00,0.00,0.70,4.40,2938.14,93353.45
FIBRAPL 14,08/01/21,12:05:38,Compra de Acciones.,9.00,44.44,0.00,0.00,0.00,0.10,0.60,400.66,92952.80
FIBRAPL 14,08/01/21,12:05:59,Compra de Acciones.,119.00,44.44,0.00,0.00,0.00,1.27,7.93,5297.56,87655.23
FIBRAPL 14,08/01/21,12:05:59,Compra de Acciones.,16.00,44.44,0.00,0.00,0.00,0.17,1.07,712.28,86942.96
FIBRAPL 14,08/01/21,12:06:00,Compra de Acciones.,30.00,44.44,0.00,0.00,0.00,0.32,2.00,1335.52,85607.44
FIBRAPL 14,08/01/21,12:06:00,Compra de Acciones.,5.00,44.44,0.00,0.00,0.00,0.05,0.33,222.59,85384.85
FIBRAPL 14,08/01/21,12:06:00,Compra de Acciones.,11.00,44.44,0.00,0.00,0.00,0.12,0.73,489.69,84895.16
FIBRAPL 14,08/01/21,12:06:00,Compra de Acciones.,1.00,44.44,0.00,0.00,0.00,0.01,0.07,44.52,84850.64
FIBRAPL 14,08/01/21,12:06:01,Compra de Acciones.,22.00,44.44,0.00,0.00,0.00,0.23,1.47,979.38,83871.26
FIBRAPL 14,08/01/21,12:06:01,Compra de Acciones.,3.00,44.44,0.00,0.00,0.00,0.03,0.20,133.55,83737.71
FIBRAPL 14,08/01/21,12:06:17,Compra de Acciones.,100.00,44.44,0.00,0.00,0.00,1.07,6.67,4451.73,79285.98
FIBRAPL 14,08/01/21,12:06:17,Compra de Acciones.,14.00,44.44,0.00,0.00,0.00,0.15,0.93,623.24,78662.73
FIBRAPL 14,08/01/21,12:06:34,Compra de Acciones.,69.00,44.44,0.00,0.00,0.00,0.74,4.60,3071.70,75591.04
FIBRAPL 14,08/01/21,12:06:34,Compra de Acciones.,9.00,44.44,0.00,0.00,0.00,0.10,0.60,400.66,75190.38
FIBRAPL 14,08/01/21,12:06:50,Compra de Acciones.,1.00,44.44,0.00,0.00,0.00,0.01,0.07,44.52,75145.87
FIBRAPL 14,08/01/21,12:07:00,Compra de Acciones.,30.00,44.44,0.00,0.00,0.00,0.32,2.00,1335.52,73810.35
FIBRAPL 14,08/01/21,12:07:00,Compra de Acciones.,11.00,44.44,0.00,0.00,0.00,0.12,0.73,489.69,73320.65
FIBRAPL 14,08/01/21,12:07:00,Compra de Acciones.,1.00,44.44,0.00,0.00,0.00,0.01,0.07,44.52,73276.14
FIBRAPL 14,08/01/21,12:07:01,Compra de Acciones.,22.00,44.44,0.00,0.00,0.00,0.23,1.47,979.38,72296.76
FIBRAPL 14,08/01/21,12:07:01,Compra de Acciones.,3.00,44.44,0.00,0.00,0.00,0.03,0.20,133.55,72163.20
FIBRAPL 14,08/01/21,12:07:02,Compra de Acciones.,141.00,44.44,0.00,0.00,0.00,1.50,9.40,6276.94,65886.26
FIBRAPL 14,08/01/21,12:07:13,Compra de Acciones.,2.00,44.44,0.00,0.00,0.00,0.02,0.13,89.03,65797.23
FIBRAPL 14,08/01/21,12:07:27,Compra de Acciones.,181.00,44.44,0.00,0.00,0.00,1.93,12.07,8057.64,57739.59
FIBRAPL 14,08/01/21,12:07:27,Compra de Acciones.,37.00,44.44,0.00,0.00,0.00,0.39,2.47,1647.14,56092.45
FIBRAPL 14,08/01/21,12:07:39,Compra de Acciones.,76.00,44.44,0.00,0.00,0.00,0.81,5.07,3383.32,52709.13
FIBRAPL 14,08/01/21,12:07:39,Compra de Acciones.,10.00,44.44,0.00,0.00,0.00,0.11,0.67,445.17,52263.96
FIBRAPL 14,08/01/21,12:07:42,Compra de Acciones.,1.00,44.44,0.00,0.00,0.00,0.01,0.07,44.52,52219.44
FIBRAPL 14,08/01/21,12:07:47,Compra de Acciones.,14.00,44.44,0.00,0.00,0.00,0.15,0.93,623.24,51596.20
FIBRAPL 14,08/01/21,12:08:00,Compra de Acciones.,30.00,44.44,0.00,0.00,0.00,0.32,2.00,1335.52,50260.68
